,hue,repeated_ensemble,performance,model,dataset_name,level,repeat,splits,seed,val_score
15,test_performance_singlemodelFalse,True,,EnsembleSelection,3,1,5,2,68,
15,test_performance_singlemodelFalse,True,,EnsembleSelection,3,1,5,2,82,
15,test_performance_singlemodelFalse,True,,EnsembleSelection,3,1,5,2,93,
15,test_performance_singlemodelFalse,True,,EnsembleSelection,53,1,5,2,12,
15,test_performance_singlemodelFalse,True,,EnsembleSelection,53,1,5,2,17,
15,test_performance_singlemodelFalse,True,,EnsembleSelection,53,1,5,2,46,
15,test_performance_singlemodelFalse,True,,EnsembleSelection,53,1,5,2,59,
15,test_performance_singlemodelFalse,True,,EnsembleSelection,53,1,5,2,95,
15,test_performance_singlemodelFalse,True,,EnsembleSelection,7592,1,5,2,1,
15,test_performance_singlemodelFalse,True,,EnsembleSelection,7592,1,5,2,13,
15,test_performance_singlemodelFalse,True,,EnsembleSelection,7592,1,5,2,31,
15,test_performance_singlemodelFalse,True,,EnsembleSelection,7592,1,5,2,34,
15,test_performance_singlemodelFalse,True,,EnsembleSelection,7592,1,5,2,97,
16,test_performance_singlemodelFalse,False,0.5989824236817761,HistGradientBoostingClassifier,10101,0,5,3,80,0.6308275058275058
16,test_performance_singlemodelFalse,False,0.6205128205128205,HistGradientBoostingClassifier,10101,0,5,3,97,0.6256978653530377
16,test_performance_singlemodelFalse,False,0.6235738513721862,HistGradientBoostingClassifier,10101,0,5,3,5,0.6063519813519813
16,test_performance_singlemodelFalse,False,0.6375149880095924,HistGradientBoostingClassifier,10101,0,5,3,49,0.594378011779404
16,test_performance_singlemodelFalse,False,0.6471830985915493,HistGradientBoostingClassifier,10101,0,5,3,98,0.6224439603682103
16,test_performance_singlemodelFalse,False,0.7337915060526138,HistGradientBoostingClassifier,53,0,5,3,17,0.7831124784217642
