,hue,performance,model,dataset_name,stack
291,val_performance_singlemodelTrue,0.6629108691268402,RandomForestClassifier,31,41
292,val_performance_singlemodelTrue,0.6455182496471062,RandomForestClassifier,31,42
293,val_performance_singlemodelTrue,0.6496269409155072,RandomForestClassifier,31,43
294,val_performance_singlemodelTrue,0.6433252671909659,RandomForestClassifier,31,44
295,val_performance_singlemodelTrue,0.6541389393022787,RandomForestClassifier,31,45
296,val_performance_singlemodelTrue,0.6642972373462391,RandomForestClassifier,31,46
297,val_performance_singlemodelTrue,0.6360657390602944,RandomForestClassifier,31,47
298,val_performance_singlemodelTrue,0.6629360758217382,RandomForestClassifier,31,48
299,val_performance_singlemodelTrue,0.655248033877798,RandomForestClassifier,31,49
300,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,31,0
301,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,31,1
302,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,31,2
303,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,31,3
304,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,31,4
305,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,31,5
306,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,31,6
307,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,31,7
308,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,31,8
309,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,31,9
310,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,31,10
311,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,31,11
312,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,31,12
313,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,31,13
314,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,31,14
315,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,31,15
316,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,31,16
317,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,31,17
318,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,31,18
319,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,31,19
320,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,31,20
321,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,31,21
322,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,31,22
323,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,31,23
324,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,31,24
325,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,31,25
326,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,31,26
327,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,31,27
328,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,31,28
329,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,31,29
330,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,31,30
331,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,31,31
332,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,31,32
333,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,31,33
334,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,31,34
335,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,31,35
336,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,31,36
337,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,31,37
338,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,31,38
339,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,31,39
340,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,31,40
341,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,31,41
342,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,31,42
343,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,31,43
344,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,31,44
345,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,31,45
346,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,31,46
347,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,31,47
348,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,31,48
349,train_performance_singlemodelTrue,1.0,DecisionTreeClassifier,31,49
350,test_performance_singlemodelTrue,0.6614388264669163,DecisionTreeClassifier,31,0
351,test_performance_singlemodelTrue,0.6630774032459426,DecisionTreeClassifier,31,1
352,test_performance_singlemodelTrue,0.6352996254681648,DecisionTreeClassifier,31,2
353,test_performance_singlemodelTrue,0.6364700374531835,DecisionTreeClassifier,31,3
354,test_performance_singlemodelTrue,0.6338171036204745,DecisionTreeClassifier,31,4
355,test_performance_singlemodelTrue,0.6420880149812734,DecisionTreeClassifier,31,5
356,test_performance_singlemodelTrue,0.6407615480649189,DecisionTreeClassifier,31,6
